_tid_,RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB
1109,1,1,1,42,1,1,2,2,1,42,1
1110,1,2,3,24,1,1,2,5,1,24,1
1111,2,2,3,45,1,1,1,5,2,45,1
1112,1,2,4,40,1,1,2,9,1,39,1
1113,1,1,2,17,1,1,2,3,1,17,1
1114,1,1,1,36,1,1,2,2,1,36,1
1115,1,1,2,19,1,1,2,4,1,19,1
1116,1,1,4,4,1,1,2,8,1,51,1
1117,1,2,2,18,1,1,2,3,1,18,1
1118,1,2,3,12,1,1,2,5,1,36,1
1119,9,2,1,9,1,1,1,1,68,253,1
1120,9,2,3,48,1,1,2,7,68,48,1
1121,1,2,3,13,1,1,2,5,1,36,1
1122,1,1,4,4,1,1,2,8,1,40,1
1123,1,2,4,6,1,1,2,9,1,6,1
1124,1,1,1,36,1,1,2,2,1,324,1
1125,1,2,1,36,1,1,2,2,1,36,1
1126,1,1,4,4,1,1,2,8,1,35,1
1127,1,1,2,19,1,1,1,4,1,30,1
1128,1,2,3,24,1,1,2,5,1,24,1
1129,1,1,3,37,1,1,2,5,1,42,1
1130,1,2,2,46,1,1,2,4,1,6,1
1131,9,1,3,12,1,1,1,5,68,36,1
1132,9,2,3,48,1,1,2,7,68,48,1
1133,1,2,2,39,1,1,2,3,1,39,1
1134,9,2,3,22,1,1,2,7,68,22,1
